Name,Email,Phone,City,State,Zip
"Colbert County Animal Control Association",ccaca@bellsouth.net,256-381-4073,"Tuscumbia",AL,35674
"Cora's Critters Animal Rescue",corascrittersanimalrescue@gmail.com,256-520-0916,"Huntsville",AL,35801
"Crossing Paths Animal Rescue",met@otelco.net,,"Locust Fork",AL,35097
"Dale's Den Rescue",dalesdenrescue@gmail.com,,"Spanish Fort",AL,36527
"Decatur Animal Services",cwicks@decatur-al.gov,256-341-4790,"Decatur",AL,35601
"Dekalb County Animal Adoption Center",ljohnson@dekalbcountyal.us,256-304-0474,"Ft. Payne",AL,35968
"Dirty Dawg Rescue",dirtydawgrescue@gmail.com,(256) 636-0926,"Vinemont",AL,35179
"East Alabama Humane Society",eahs4pets@yahoo.com,334-298-6446,"Phenix City",AL,36867
"Fairhope Cat Coalition",info@fairhopecatcoalition.org,251-367-1711,"Fairhope",AL,36532
"Fairy Dogmother Rescue, Inc.",fairydogmother@gmail.com,256-338-0371,"Baileyton",AL,35019
"Forgotten Felines Inc.",info@ffhsv.org,,"Capshaw",AL,35742
"Friends of Cats and Dogs Foundation",jennyfcdf@gmail.com,,"Birmingham",AL,35223
"Friends of Marshall County Animals",friendsofmarshallcountyanimals@gmail.com,256-505-7730,"Horton",AL,35980
"Friends of Rescue  (FOR)",info@forrescue.net,,"Huntsville",AL,35802
"Friends of the Mobile Animal Shelter",info@adoptapetmobile.org,251-208-2830,"Mobile",AL,36604
"Furever Friends of the South K-9 Rescue",info@ffosk9resq.org,,"Crossville",AL,35962
"Furry Friends Rescue",furrypets1@hughes.net,,"Headland",AL,36345
"Global K9 Solutions",sara@gk9s.info,,"Auburn",AL,36830
"God's Feral Felines Inc.",godsferalfelines@gmail.com,(256) 960-0538,"Guntersville",AL,35976
"Great and Small Foundation",greatandsmall15@yahoo.com,(256) 740-7738,"Eva",AL,35621
"Greater Huntsville Humane Society",info@ghhs.org,256-881-8081,"Huntsville",AL,35805
"Guntersville Animal Shelter",jeanniegah@chyoung.net,256-582-3184,"Guntersville",AL,35976
"Helping Shepherds of Every Color Rescue",everycolorrescue@yahoo.com,,"Montgomery",AL,36106
"Holmes Feline Clinic",info@holmesfelineclinic.com,2058220692,"Birmingham",AL,35243
"Homeless Animals Rescue Team",alabamahart@gmail.com,256-649-0971,"Talladega",AL,35160
"Hope4Hearts Animal Rescue, Inc.",hope4heartsar@gmail.com,,"Mobile",AL,36619
"Humane Society of Central Alabama",lynnsanders01@gmail.com,(334) 431-0476,"Selma",AL,36701
"Humane Society of Elmore County",hselco@bellsouth.net,334-567-3377,"Wetumpka",AL,36092
"Humane Society Pet Rescue and Adoption Center",adoptions@hsprac.com,(256) 442-1347,"Gadsden",AL,35904
"Huntsville Friends of Rabbits",huntsvillebunnies@hotmail.com,,"Huntsville",AL,35802
"J & L Golden Retriever Rescue",lkh5@mchsi.com,(251) 404-0045,"Point Clear",AL,36564
"Jackson County SPCA",riverrun@farmerstel.com,256-451-8401,"Pisgah",AL,35765
"Jeremy's Boggle Ferret Bungalow",jeremysboggle@gmail.com,334-301-3558,"Grady",AL,36036
"Joe Jackson's Dog World, Inc.",jjdogworld@gmail.com,205-646-3070,"Jemison",AL,35085
"K9 RESQ of AL",k9resqofal@gmail.com,,"Birmingham",AL,35213
"Kee Kitty Friends",catsnkeys@yahoo.com,706-464-1172,"Ashford",AL,36312
"Kitty Kat Haven and Rescue",kittykathaven1@gmail.com,(205) 302-8883,"Hoover",AL,35226
"Krewe de Rescue",krewemobile@gmail.com,,"Mobile",AL,36685
"Lake Martin Animal Shelter",lmhsdirector@gmail.com,(256) 234-5533,"Alexander City",AL,35010
"Last Chance Dog Rescue Alabama",were4dogs@gmail.com,,"Alabaster",AL,35007
"Lee County Humane Society",lchs1140@leecountyhumane.org,334-821-3222,"Auburn",AL,36832
"Lifeline Pet Rescue",pennyw@hiwaay.net,256-881-0664,"Huntsville",AL,35802
"Lil' Tykes Rescue & Adoption",carousel36360@gmail.com,(334) 598-2473,"Daleville",AL,36360
"Macon County Humane Society",maconcountyhumanesociety@yahoo.com,(334) 727-0776,"Tuskegee",AL,36083
"Madison Animal Rescue Foundation",madisonarf@gmail.com,,"Madison",AL,35758
"Marshall County AL Animal Control",marshallcoaco@gmail.com,256-960-0960,"Guntersville",AL,35976
"Mercy Animal Hospital",jenna@mercyvets.com,(205) 631-4432,"Gardendale",AL,35071
"Mobile County Animal Shelter",mcacshelter@mobile-county.net,251-574-3647,"Mobile",AL,36618
"Mobile SPCA",robin@mobilespca.org,251-633-3531,"Mobile",AL,36608
"Monroe County Animal Shelter",monroecountyshelter@gmail.com,(251) 575-3427,"Monroeville",AL,36460
"Montgomery Humane Society",msspeedy307@hotmail.com,(334) 409-0622,"Montgomery",AL,36110
"Morgan County Humane Society",mchs@hughes.net,256-773-7222,"Hartselle",AL,35640
"Mountain Brook Animal Control",sloanp@mtnbrook.org,205-802-3844,"Mountain Brook",AL,35223
"Must Love Paws Rescue",mustlovepawsrescue@gmail.com,(205) 529-0999,"Trussville",AL,35173
"New Beginnings Animal Rescue and Transport",info.newbeganimalrescue@gmail.com,(612) 361-7762,"Mobile",AL,36604
"New Hope Rescue, Inc",nhrescueinc@gmail.com,(334) 332-9898,"Opelika",AL,36803
"No Greater Love",adoptngl@gmail.com,,"Buhl",AL,35446
"Orange Beach Animal Care and Control Program",obaccp@gmail.com,(251) 202-7035,"Orange Beach",AL,36561
"Ozark Animal Shelter",shelter@ozarkalabama.us,(334) 774-4633,"Ozark",AL,36360
"PAWS (Pets Are Worth Saving)",ablythestoddard@gmail.com,256-383-0690,"Florence",AL,35662
"Paws Crossed Dog Rescue, Inc",pawscrossedrescue@yahoo.com,(251) 363-9098,"Brewton",AL,36426
"Paws of Dixie Animal Rescue",pawsofdixie@yahoo.com,,"Tuscaloosa",AL,35406
"Peace Love & Dog Paws Rescue, Inc.",peacelovedogpawsrescue@gmail.com,(205) 542-4407,"Birmingham",AL,35243
"Peace, Love and Animals",peaceloveandanimals@gmail.com,(256) 233-4343,"Tanner",AL,35671
"Pell City Animal Control Center",animalcenter@cityofpellcity.net,(205) 814-1567,"Pell City",AL,35128
"Pets Are Worth Saving in Alabama, Inc.(PAWS-AL)",labaumgardner13@charter.net,,"Montgomery",AL,36117
"Pickens County Partners for Pets",pickenscountypartnersforpets@gmail.com,(205) 765-5478,"Reform",AL,35481
"Pound on the Hill Animal Rescue",poundonthehill@gmail.com,205-478-7301,"Bessemer",AL,35020
"Prattville/Autauga Humane Society",autaugahumane@yahoo.com,334-358-2882,"Prattville",AL,36067
"Project Purr Animal Rescue, Inc.",projectpurr@aol.com,2512872413,"Mobile",AL,36609
"Purrfect Love Cat Rescue",purrfectlovecatrescue1@gmail.com,2052834298,"Hoover",AL,35226
"R.ehoming U.nsettled A.nimals",critterrescueandrehome@gmail.com,,"Gurley",AL,35748
"Randolph County Animal Shelter",randolphanimal@centurytel.net,(256) 357-0101,"Wedowee",AL,36278
"Rebeccas Paws and Claws",saveapreciouspaw@gmail.com,(205) 243-2542,"Hayden",AL,35079
"Red Oak Rescue",home4-3georges@charter.net,(256) 293-7066,"Guntersville",AL,35976
"Rescue K9-1-1",adopt@rescuek911.com,256-896-4694,"Camp Hill",AL,36850
"Rescue Rangers",k9.rescue.rangers@gmail.com,256-227-4270,"Decatur",AL,35603
"Rescued  Pets",jono@gate.net,205-427-7744,"Birmingham",AL,35206
"Rockin P Rescue, Inc. (Boxer Rescue)",angiepersch@me.com,256-282-9304,"Jacksonville",AL,36265
"Rotties & Notties, Inc. / Crossroads Animal Hospital",crossroadsanimalhospital@yahoo.com,(205) 640-4327,"Moody",AL,35004
"Safe Haven no kill pet rescue",melissautech@yahoo.com,256-919-7290,"Scottsboro",AL,35768
"Sanctuary Animal Rescue",heidi.tbg@gmail.com,(205) 837-4000,"Alabaster",AL,35007
"Save a Stray",info@saveastray.org,,"Mobile",AL,36608
"Saving Paws",kbailey772@gmail.com,,"Birmingham",AL,35023
"Schnauzer Love Rescue Inc.",schluv4u2@bellsouth.net,,"Birmingham",AL,35235
"Second Chance Shelter",2ndchanceshelter2008@gmail.com,256-561-2411,"Boaz",AL,35957
"Shelby Humane Society",info@shelbyhumane.org,(205) 669-3916,"Columbiana",AL,35051
"SOS Animal Shelter",sosshelter1981@gmail.com,334-393-1743,"Enterprise",AL,36330
"SOS Beagle Rescue-Alabama Chapter",rescue@alsosbeagles.com,,"Birmingham",AL,35216
"Southern Skies Labrador Rescue & Adoption, Inc.",elisabethstewart50@gmail.com,,"Grant",AL,35747
"Southern Souls Animal League",southernsoulsanimalleague@gmail.com,,"Eufaula",AL,36027
"Southern Treasures Animal Rescue",maryann@adoptstardogs.org,,"Mobile",AL,36685
"Spay Neuter Action Project",helpsnap@yahoo.com,(256) 830-8459,"Huntsville",AL,35815
"Steel City Cat Rescue",steelcitycatrescue@gmail.com,,"Birmingham",AL,35242
"Stray Love Foundation, Inc.",info@straylovefoundation.org,(251) 540-2236,"Magnolia Springs",AL,36555
"Sugarbelle Foundation",sugarbellefoundation@gmail.com,,"Birmingham",AL,35266
"Talladega City Animal Control",talladegaanimalcontrol@hotmail.com,256-362-5856,"Talladega",AL,35160
"The Ark Inc.",ninaark@aol.com,(256) 851-4088,"Huntsville",AL,35806
"The Canine Compassion Fund, Inc.",a.melvin@caninecompassionfund.org,,"Tuscaloosa",AL,35403
"The Haven",info@havenforanimals.org,(251) 929-3980,"Fairhope",AL,36532
"Third Coast Animal Rescue",thirdcoastanimalrescue@gmail.com,(251)366-6668,"Spanish Fort",AL,36527
"TLC for Paws",adopt@tlcpaws.org,(256) 617-9496,"Madison",AL,35758
"Troy Animal Rescue Project",troyanimalrescueproject@gmail.com,(334) 508-2367,"Troy",AL,36081
"Tuscaloosa Metro Animal Shelter",jearp@metroanimalshelter.org,205-752-9101,"Tuscaloosa",AL,35401
"Two by Two Rescue",debbie@twobytworescue.com,,"Helena",AL,35080
"Wags and Whiskers",wagsandwhiskersrescuepets@yahoo.com,,"Grand Bay",AL,36541
"Wags N' Whiskers Rescue",jill@wagshomewood.com,(205) 902-9247,"Homewood",AL,35209
"Weimaraner Rescue of the South",contactus@weimrescue.com,,"Birmingham",AL,35244
"Woof Ave Rescue",jonna@woofave.com,(334) 502-7900,"Auburn",AL,36830
"Animal League of Washington County",animalleaguewc@gmail.com,479-263-7058,"Fayetteville",AR,72702
"AR*RUFF",krun11@sbcglobal.net,(501) 316-7247,"Benton",AR,72019
"ARFA",info@arfarkansas.com,,"Little Rock",AR,72260
"ArkanPaws Animal Rescue",arkanpaws@gmail.com,,"Conway",AR,72034
"Arkansans Assisting Homeless Animals",aaha.adoptions@gmail.com,,"Cabot",AR,72023
"Arkansas German Shorthaired Pointer Rescue",makgsprescue@gmail.com,,"Fayetteville",AR,72701
"Arkansas Pet Rabbit Network",bradforde81@hotmail.com,,"Little Rock",AR,72211
"Arkansas Southern Dog Rescue",savinglives@arsoutherndogrescue.org,,"Ward",AR,72176
"Arkansas Weimaraner Rescue",arweimrescue@gmail.com,(479) 530-0330,"Fayetteville",AR,72701
"Bella Vista Animal Shelter",bvas@sbcglobal.net,479-855-6020,"Bella Vista",AR,72714
"Big Paws of the Ozarks",bigpawsoftheozarks@gmail.com,479-422-9005,"Fayetteville",AR,72703
"Blue Moon Cat Sanctuary",bluemooncatsanctuary@gmail.com,479-677-3021,"Witter",AR,72776
"Blytheville Humane Society",pam_ford@att.net,870-838-5512,"Blytheville",AR,72315
"Bryant Animal Control & Adoption Center",animalcontrol@cityofbryant.com,(501) 943-0489,"Bryant",AR,72022
"Cabot Animal Control",vetspet80@yahoo.com,(501) 843-2021,"Cabot",AR,72023
"Camden City Pound",tshadden@camdenpolice.com,870-836-5755,"Camden",AR,71701
"Central Arkansas SPCA",reneas34@aol.com,501-366-1293,"Jacksonville",AR,72076
"Charleston Dog Shelter",shayes@tigersmail.org,(479) 965-3591,"Charleston",AR,72933
"City of Gentry Animal Services",mark.smithson@cityofgentry.com,(479) 212-0632,"Gentry",AR,72734
"City of Hot Springs Animal Services",mlstone@cityhs.net,(501) 262-2091,"Hot Springs",AR,71901
"City of Mena Animal Control",mellodydolly@gmail.com,,"Mena",AR,71953
"City of Rogers-Animal Services",dschumacher@rogersar.gov,479-621-1197,"Rogers",AR,72758
"City of Springdale Animal Services",ckremer@springdalear.gov,479-750-8166,"Springdale",AR,72764
"Community Cats of Central AR",contact@mycommunitycats.com,(801) 508-4070,"Jacksonville",AR,72078
"Conway Animal Welfare Unit",shona.osborne@cityofconway.org,501-450-6160,"Conway",AR,72032
"Crystal Creek Animal Rescue League",cats@crystalcreekrescue.com,202-4212777,"Bentonville",AR,72712
"Cynder Creek Animal Rescue and Sanctuary Inc",alphadogspunkyk@gmail.com,(501) 442-6818,"North Little Rock",AR,72118
"Decatur Animal Shelter",rickeyburke2@gmail.com,(479) 752-7235,"Decatur",AR,72722
"Fabulous Felines NWA",fabulousfelinesnwa@gmail.com,479-273-9217,"Bentonville",AR,72712
"Fayetteville Animal Shelter",animal_services@ci.fayetteville.ar.us,479-444-3456,"Fayetteville",AR,72701
"Forrest City Area Humane Society",ravfcahs@gmail.com,870-633-7036,"Forrest City",AR,72335
"Friends of Horseshoe Bend Animals",friendsofhba@yahoo.com,(870) 373-2649,"Horseshoe Bend",AR,72512
"Gails Pets Second Chance",gailspets@hotmail.com,870-431-8229,"Oakland",AR,72661
"Glenwood Animal Control Shelter",cynsan@windstream.net,870-223-2995,"Glenwood",AR,71943
"Good Shepherd Humane Society",goodshepherd6486@gmail.com,4792539188,"Eureka Springs",AR,72632
"Greener Days Ahead Rescue",gdarescue@gmail.com,,"mount vernon",AR,72111
"Guardian Angels Cat Rescue and Adoption Shelter",gacr@att.net,(501) 623-3484,"Hot Springs",AR,71901
"H&P Animal Alliance",hpanimalalliance@gmail.com,870-234-3131,"Magnolia",AR,71753
"Have a Heart Humane Society",haveaheartpetshelter@gmail.com,(870) 449-7387,"Yellville",AR,72687
"Heavenly Paws NWA",heavenlypawsrescuebv@gmail.com,(479) 366-1419,"Gravette",AR,72736
"Heber Springs Humane Society",heberspringshumanesociety@yahoo.com,501 362 7322,"Heber Springs",AR,72543
"Helping Hands For Little Paws",helpinghandsforlittlepaws@yahoo.com,501-888-2702,"Little Rock",AR,72203
"Homeless Pets Lifeline",dogtiredjanet@hotmail.com,(479) 216-6044,"Waldron",AR,72958
"Hot Springs Village Animal Welfare League",adoptions@hsvawl.org,,"Hot Springs Village",AR,71909
"Humane Society of Independence County",hsicshelteroffice@yahoo.com,(870) 793-0090,"Batesville",AR,72503
"Humane Society of Marion County",humanesocietyyellville@yahoo.com,870-416-3428,"Yellville",AR,72687
"Humane Society of North Central Arkansas",hsnca@centurytel.net,(870) 425-9221,"Mountain Home",AR,72653
"Humane Society of Pulaski County",hspc.ar.volunteers@gmail.com,(501) 227-6166,"Little Rock",AR,72210
"Humane Society of Saline County",wehelpanimals@aol.com,501-557-5518,"Bauxite",AR,72011
"Humane Society of the Delta",adoptionshsdelta@gmail.com,(870) 753-2119,"Helena",AR,72342
"Humane Society of the Ouachitas",tinasball@aol.com,479-394-5682,"Mena",AR,71953
"Izard County Animal Rescue Effort (ICARE)",icare_ark@yahoo.com,(870) 368-5000,"Melbourne",AR,72556
"Jackson County Humane Society",arkansasjchs@yahoo.com,870-217-5878,"Newport",AR,72112
"Jacksonville Animal Shelter",animalshelter@cityofjacksonville.net,(501) 982-2916,"Jacksonville",AR,72076
"Lester C. Howick Animal Shelter of Washington County",ashelter@co.washington.ar.us,479-695-3450,"Fayetteville",AR,72704
"Little Rock Animal Services (LRAS)",troark@littlerock.org,501-376-3067,"Little Rock",AR,72206
"Liz E.'s Pekingese Rescue and Sanctuary",lizethedog@yahoo.com,,"Benton",AR,72019
"Lone Pine Ranch Animal Shelter",lonepineshelter@yahoo.com,479-795-2709,"Centerton",AR,72719
"Lost Love Animal Rescue",lostloveanimalrescue@hotmail.com,,"Fayetteville",AR,72701
"Lowell Animal Shelter",animalcontrol@lowellarkansas.gov,479-770-0166 opt1,"Lowell",AR,72745
"Maumelle Friends of the Animals",jeanwheelerlewis@gmail.com,(501) 851-7114,"Maumelle",AR,72113
"Morning Meadow Animal Rescue",mmarcatdog@yahoo.com,870-917-7034,"Fordyce",AR,71742
"Muttley Crew German Shepherd Rescue",mcrgsd@yahoo.com,,"Fouke",AR,71837
"NEA Humane Society",adoptions@neahs.org,(870) 932-5185,"Jonesboro",AR,72401
"Needy Paws Animal Shelter",needypawsanimalshelter@yahoo.com,479-754-4200,"Clarksville",AR,72830
"Northwest Arkansas Rescue of Canines, Inc.",northwestarkrescue@gmail.com,870-350-0813,"Harrison",AR,72601
"NovaStar Animal Rescue",novastarrescue@gmail.com,(501) 920-7311,"Ola",AR,72853
"Out Of The Woods Animal Rescue",contact@ootwrescue.org,,"Little Rock",AR,72207
"Ozark Dogs Rescue Organization",ozarkdogs@yahoo.com,(870) 508-4814,"Mountain Home",AR,72653
"Ozark Humane Society",ohsshelter@gmail.com,(870) 741-3050,"Harrison",AR,72601
"Paragould Animal Welfare Society",pawsar@att.net,870-240-0997,"Paragould",AR,72450
"Paws & Claws Pet Shelter",pawsandclawspetshelter@gmail.com,(479) 738-1505,"Huntsville",AR,72740
"Paws and Claws Rescue",info@pawsandclawsrescue.org,,"Hot Springs",AR,71903
"Paws To Love Me",chris@pawstoloveme.org,479.876.PAWS,"Bella VIsta",AR,72714
"Perry's Orphans Sanctuary Inc.",perrysorphans@gmail.com,(870) 431-8354,"Oakland",AR,72661
"Pit Bull Ambassador of Northwest Arkansas",adoptionpbanwa@yahoo.com,,"Springdale",AR,72762
"Pug Rescue of Northwest Arkansas",pugrescuenwa@yahoo.com,,"Bentonville",AR,72712
"Purr Catfe",info@purrnwa.com,(479) 301-0993,"Fayetteville",AR,72701
"Russellville Animal Shelter",tcase@rsvlar.org,479-968-1944,"Russellville",AR,72802
"Siloam Springs Animal Services",animalcontrol@siloamsprings.com,(479) 524-6535,"Siloam Springs",AR,72761
"Small K9 Rescue",patkellim@live.com,please Email,"Paragould",AR,72450
"Spenser's Legacy Animal Rescue",contact@spenserslegacy.org,479-601-7202,"Fayetteville",AR,72704
"Stone County Humane Society Inc.",schs@yelcot.net,(870) 269-5200,"Mountain View",AR,72560
"Stop Animal Cruelty in Hot Spring County",mataft@netscape.com,(501) 276-2385,"Malvern",AR,72104
"Stray Central",blueskat@aol.com,(479) 300-6226,"Farmington",AR,72730
"The Animal Farm",greenecountyanimalfarm@yahoo.com,870-240-8117,"Paragould",AR,72450
"The Humane Society of Searcy",hss@cablelynx.com,501-268-3535,"Searcy",AR,72143
"The Humane Society of the Ozarks",animalservices@hsozarks.com,(479) 444-7387,"Fayetteville",AR,72701
"Warm Hearts Humane Society Inc,",warmhearts@earthlink.net,870-490-0883,"Mount Ida",AR,71957
"Wynne Friends of Animals",kakn6755@gmail.com,870-238-9663,"Wynne",AR,72396
"2DARESCUE",karen@2darescue.org,480-229-9530,"Phoenix",AZ,85034
"2nd Chance Dog Rescue",cdczar96@aol.com,,"Queen Creek",AZ,85242
"4 The Love of German Shepherds Rescue",ashtonshepherds@aol.com,,"Phoenix",AZ,85331
"AARTA - Akita Advocates Relocation Team Arizona",aarta.akitaadvocates@gmail.com,602-882-5482, 602-88-AKITA,"Glendale",AZ,85318
"ABC (Animals Benefit Club of Arizona, Inc.)",info@animalsbenefitclub.com,(602) 867-2169,"Phoenix",AZ,85032
"Adorable Dog Rescue",adorabledogrescue@yahoo.com,Please email us.,"Phoenix",AZ,85016
"AJs Best Friends Persian & Himalayan Rescue",ajbfcats@gmail.com,,"Ahwatukee",AZ,85233
"All About Animals Rescue",allaboutanimalsaz@gmail.com,,"Phoenix",AZ,85053
"Almost Home Bulldog Rescue",almosthomebulldogs@gmail.com,(480) 665-9524,"Tempe",AZ,85284
"Almost There Foster Care",info@atfcaz.org,,"Phoenix",AZ,85016
"Animal Advocates Rescue Fund",tonielich@aarfus.org,,"Phoenix",AZ,85041
"Animal Care And Welfare Facility",ccortese@bullheadcity.com,928-763-6000,"Bullhead City",AZ,86442
"Animal League of Green Valley",candkkell@hotmail.com,520-625-3170,"Green Valley",AZ,85614
"Animal Loving Friends",alfrescue@hotmail.com,,"Tempe",AZ,85284
"Animal Rescue , Transport , and Adoption",artarescue@yahoo.com,520 255 5375,"Thatcher",AZ,85552
"Animal Rescue Friends, Ltd.",admin@animalrescuefriends.org,623-428-9119,"Surprise",AZ,85374
"Animals' Crusaders",rr.tucson09@gmail.com,520-798-6569,"Tucson",AZ,85751
"Any Rat Rescue",info@anyratrescue.org,480-663-3338,"Phoenix",AZ,85053
"Arizona Animal Welfare League & SPCA",adoptions1@aawl.org,602-273-6852,"Phoenix",AZ,85034
"Arizona Beagle Rescue",adoptions@azbeaglerescue.com,(623) 977-1355,"Phoenix",AZ,85335
"Arizona Boston Terrier Rescue",info@azbtrescue.org,,"Phoenix",AZ,85269
"Arizona Cattle Dog Rescue",acdr@arizonacattledogrescue.org,480-442-ACDR (2237),"Scottsdale",AZ,85262
"Arizona Chihuahua Rescue",rescue@azchihuahuarescue.org,480-844-2447,"Mesa",AZ,85208
"Arizona Desert Rotti & Pals Rescue",azdesertrottis@aol.com,,"Tucson",AZ,85731
"Arizona Equine Rescue Org",info@azequinerescue.org,623.465.1519,"Scottsdale",AZ,85266
"Arizona Greyhound Rescue",adoption@azgreyhoundrescue.org,(520) 886-7411,"Tucson",AZ,85749
"Arizona Labrador and Giant Breed Rescue",adoptions@azlabsandgiants.org,602-307-5227,"Phoenix",AZ,85068
"Arizona Pug Adoption & Rescue Network",info@aparn.org,(480) 964-3126,"Mesa",AZ,85203
"Arizona Shih Tzu and Small Breed Rescue",duffsonni@aol.com,,"Phoenix",AZ,85032
"Arizona's PiggiePoo Rescue, Inc.",info@piggiepoo.org,602-412-4952,"Phoenix",AZ,85022
"Aussie And Friends Rescue",jane@aussiefriendsrescue.com,602-930-9384,"Payson",AZ,85541
"AZ CARE",adopt@azcarerescue.org,480-987-2212,"Queen Creek",AZ,85142
"AZ Cavalier Rescue",azcavalierrescue@gmail.com,(602) 397-4744,"Phoenix",AZ,85029
"AZ Cocker Rescue",azcockerrescue@aol.com,,"Scottsdale",AZ,85254
"AZ Dog Adoptions",azdogadoptions@gmail.com,480-500-9620,"Phoenix",AZ,85009
"AZ Furry Friends Rescue Foundation",azfurryfriends@gmail.com,(602) 882-9535,"Phoenix",AZ,85013
"AZ Happy Tails Animal Rescue",dogadoptions@happytailsaz.org,,"Chandler",AZ,85225
"AZ Maine Coon Cat Rescue",azmccr@gmail.com,4809628139,"Mesa",AZ,85211
"AZ Prussian Snailhound Dog Rescue",prussian.snailhound@gmail.com,(602) 295-4518,"Phoenix",AZ,85028
"AZ Saint Bernard Rescue",corinthians3418@aol.com,602-920-1826,"Phoenix",AZ,85027
"AZ Small Dog Rescue",info@azsmalldog.org,602-944-2440,"Phoenix",AZ,85021
"AZ Sugar Glider Rescue",azsgrescue@gmail.com,(480) 238-6063,"Phoenix",AZ,85053
"AZK9",azk9org@gmail.com,,"Peoria",AZ,85381
"BARK (Baby Animal Rescue Koalition)",barkntucson@aol.com,,"Tucson",AZ,85740
"Benson Animal Shelter",azdog85602@gmail.com,520-586-3600,"Benson",AZ,85602
"Better Days Rescue",info@betterdaysrescue.org,,"Scottsdale",AZ,85261
"Big Heads Bigger Hearts",bigheadsbiggerhearts@gmail.com,,"Tucson",AZ,85716
"Big Hearts Animal Welfare",info@bigheartsaz.org,,"Mesa",AZ,85206
"Bisbee Animal Shelter",bisbeeanimals@gmail.com,(520) 432-6020,"Bisbee",AZ,85603
"Blackhat Humane Society",blackhathumane@gmail.com,928-245-3890,"Chinle",AZ,86503
"Border Animal Rescue",borderanimalrescue@gmail.com,(520)432-7964,"Sierra Vista",AZ,85635
"Bully Pride of Arizona Bully Breed Advocacy",bullyprideofaz@gmail.com,(480) 330-1242,"Phoenix",AZ,85028
"Cactus Cats Rescue, Inc.",petfinder-inquiry@cactuscatsrescue.net,(480) 814-8801,"Phoenix",AZ,85044
"Canine Rescue Coalition (AZ Mastiff Rescue)",azmastiffrescue@yahoo.com,,"Glendale",AZ,85308
"CARE FOR THE HORSES",careforthehorses@msn.com,520-378-0896,"Sierra Vista",AZ,85636
