Name,Email,Phone,City,State,Website,Facebook,Type,Notes
"Morgan County Humane Society",mchs@hughes.net,(256) 773-7222,"Hartselle",AL,,,Shelter,""
"Mountain Brook Animal Control",sloanp@mtnbrook.org,(205) 802-3844,"Mountain Brook",AL,,,Shelter,""
"Must Love Paws Rescue",mustlovepawsrescue@gmail.com,(205) 529-0999,"Trussville",AL,,,Shelter,""
"New Beginnings Animal Rescue and Transport",info.newbeganimalrescue@gmail.com,(612) 361-7762,"Mobile",AL,,,Shelter,""
"New Hope Rescue, Inc",nhrescueinc@gmail.com,(334) 332-9898,"Opelika",AL,,,Shelter,""
"No Greater Love",adoptngl@gmail.com,,"Buhl",AL,,,Shelter,""
"Orange Beach Animal Care and Control Program",obaccp@gmail.com,(251) 202-7035,"Orange Beach",AL,,,Shelter,""
"Ozark Animal Shelter",shelter@ozarkalabama.us,(334) 774-4633,"Ozark",AL,,,Shelter,""
"PAWS (Pets Are Worth Saving)",ablythestoddard@gmail.com,(256) 383-0690,"Florence",AL,,,Shelter,""
"Paws Crossed Dog Rescue, Inc",pawscrossedrescue@yahoo.com,(251) 363-9098,"Brewton",AL,,,Shelter,""
"Paws of Dixie Animal Rescue",pawsofdixie@yahoo.com,,"Tuscaloosa",AL,,,Shelter,""
"Peace Love & Dog Paws Rescue, Inc.",peacelovedogpawsrescue@gmail.com,(205) 542-4407,"Birmingham",AL,,,Shelter,""
"Peace, Love and Animals",peaceloveandanimals@gmail.com,(256) 233-4343,"Tanner",AL,,,Shelter,""
"Pell City Animal Control Center",animalcenter@cityofpellcity.net,(205) 814-1567,"Pell City",AL,,,Shelter,""
"Pets Are Worth Saving in Alabama, Inc.(PAWS-AL)",labaumgardner13@charter.net,,"Montgomery",AL,,,Shelter,""
"Pickens County Partners for Pets",pickenscountypartnersforpets@gmail.com,(205) 765-5478,"Reform",AL,,,Shelter,""
"Pound on the Hill Animal Rescue",poundonthehill@gmail.com,(205) 478-7301,"Bessemer",AL,,,Shelter,""
"Prattville/Autauga Humane Society",autaugahumane@yahoo.com,(334) 358-2882,"Prattville",AL,,,Shelter,""
"Project Purr Animal Rescue, Inc.",projectpurr@aol.com,(251) 287-2413,"Mobile",AL,,,Shelter,""
"Purrfect Love Cat Rescue",purrfectlovecatrescue1@gmail.com,(205) 283-4298,"Hoover",AL,,,Shelter,""
"R.ehoming U.nsettled A.nimals",critterrescueandrehome@gmail.com,,"Gurley",AL,,,Shelter,""
"Randolph County Animal Shelter",randolphanimal@centurytel.net,(256) 357-0101,"Wedowee",AL,,,Shelter,""
"Rebeccas Paws and Claws",saveapreciouspaw@gmail.com,(205) 243-2542,"Hayden",AL,,,Shelter,""
"Red Oak Rescue",home4-3georges@charter.net,(256) 293-7066,"Guntersville",AL,,,Shelter,""
"Rescue K9-1-1",adopt@rescuek911.com,(256) 896-4694,"Camp Hill",AL,,,Shelter,""
"Rescue Rangers",k9.rescue.rangers@gmail.com,(256) 227-4270,"Decatur",AL,,,Shelter,""
"Rescued Pets",jono@gate.net,(205) 427-7744,"Birmingham",AL,,,Shelter,""
"Rockin P Rescue, Inc. (Boxer Rescue)",angiepersch@me.com,(256) 282-9304,"Jacksonville",AL,,,Shelter,""
"Rotties & Notties, Inc. / Crossroads Animal Hospital",crossroadsanimalhospital@yahoo.com,(205) 640-4327,"Moody",AL,,,Shelter,""
"Safe Haven no kill pet rescue",melissautech@yahoo.com,(256) 919-7290,"Scottsboro",AL,,,Shelter,""
"Sanctuary Animal Rescue",heidi.tbg@gmail.com,(205) 837-4000,"Alabaster",AL,,,Shelter,""
"Save a Stray",info@saveastray.org,,"Mobile",AL,,,Shelter,""
"Saving Paws",kbailey772@gmail.com,,"Birmingham",AL,,,Shelter,""
"Schnauzer Love Rescue Inc.",schluv4u2@bellsouth.net,,"Birmingham",AL,,,Shelter,""
"Second Chance Shelter",2ndchanceshelter2008@gmail.com,(256) 561-2411,"Boaz",AL,,,Shelter,""
"Shelby Humane Society",info@shelbyhumane.org,(205) 669-3916,"Columbiana",AL,,,Shelter,""
"SOS Animal Shelter",sosshelter1981@gmail.com,(334) 393-1743,"Enterprise",AL,,,Shelter,""
"SOS Beagle Rescue-Alabama Chapter",rescue@alsosbeagles.com,,"Birmingham",AL,,,Shelter,""
"Southern Skies Labrador Rescue & Adoption, Inc.",elisabethstewart50@gmail.com,,"Grant",AL,,,Shelter,""
"Southern Souls Animal League",southernsoulsanimalleague@gmail.com,,"Eufaula",AL,,,Shelter,""
"Southern Treasures Animal Rescue",maryann@adoptstardogs.org,,"Mobile",AL,,,Shelter,""
"Spay Neuter Action Project",helpsnap@yahoo.com,(256) 830-8459,"Huntsville",AL,,,Shelter,""
"Steel City Cat Rescue",steelcitycatrescue@gmail.com,,"Birmingham",AL,,,Shelter,""
"Stray Love Foundation, Inc.",info@straylovefoundation.org,(251) 540-2236,"Magnolia Springs",AL,,,Shelter,""
"Sugarbelle Foundation",sugarbellefoundation@gmail.com,,"Birmingham",AL,,,Shelter,""
"Talladega City Animal Control",talladegaanimalcontrol@hotmail.com,(256) 362-5856,"Talladega",AL,,,Shelter,""
"The Ark Inc.",ninaark@aol.com,(256) 851-4088,"Huntsville",AL,,,Shelter,""
"The Canine Compassion Fund, Inc.",a.melvin@caninecompassionfund.org,,"Tuscaloosa",AL,,,Shelter,""
"The Haven",info@havenforanimals.org,(251) 929-3980,"Fairhope",AL,,,Shelter,""
"Third Coast Animal Rescue",thirdcoastanimalrescue@gmail.com,(251) 366-6668,"Spanish Fort",AL,,,Shelter,""
"TLC for Paws",adopt@tlcpaws.org,(256) 617-9496,"Madison",AL,,,Shelter,""
"Troy Animal Rescue Project",troyanimalrescueproject@gmail.com,(334) 508-2367,"Troy",AL,,,Shelter,""
"Tuscaloosa Metro Animal Shelter",jearp@metroanimalshelter.org,(205) 752-9101,"Tuscaloosa",AL,,,Shelter,""
"Two by Two Rescue",debbie@twobytworescue.com,,"Helena",AL,,,Shelter,""
"Wags and Whiskers",wagsandwhiskersrescuepets@yahoo.com,,"Grand Bay",AL,,,Shelter,""
"Wags N' Whiskers Rescue",jill@wagshomewood.com,(205) 902-9247,"Homewood",AL,,,Shelter,""
"Weimaraner Rescue of the South",contactus@weimrescue.com,,"Birmingham",AL,,,Shelter,""
"Woof Ave Rescue",jonna@woofave.com,(334) 502-7900,"Auburn",AL,,,Shelter,""
"Animal League of Washington County",animalleaguewc@gmail.com,(479) 263-7058,"Fayetteville",AR,,,Shelter,""
"AR*RUFF",krun11@sbcglobal.net,(501) 316-7247,"Benton",AR,,,Shelter,""
"ARFA",info@arfarkansas.com,,"Little Rock",AR,,,Shelter,""
"ArkanPaws Animal Rescue",arkanpaws@gmail.com,,"Conway",AR,,,Shelter,""
"Arkansans Assisting Homeless Animals",aaha.adoptions@gmail.com,,"Cabot",AR,,,Shelter,""
"Arkansas German Shorthaired Pointer Rescue",makgsprescue@gmail.com,,"Fayetteville",AR,,,Shelter,""
"Arkansas Pet Rabbit Network",bradforde81@hotmail.com,,"Little Rock",AR,,,Shelter,""
"Arkansas Southern Dog Rescue",savinglives@arsoutherndogrescue.org,,"Ward",AR,,,Shelter,""
"Arkansas Weimaraner Rescue",arweimrescue@gmail.com,(479) 530-0330,"Fayetteville",AR,,,Shelter,""
"Bella Vista Animal Shelter",bvas@sbcglobal.net,(479) 855-6020,"Bella Vista",AR,,,Shelter,""
"Big Paws of the Ozarks",bigpawsoftheozarks@gmail.com,(479) 422-9005,"Fayetteville",AR,,,Shelter,""
"Blue Moon Cat Sanctuary",bluemooncatsanctuary@gmail.com,(479) 677-3021,"Witter",AR,,,Shelter,""
"Blytheville Humane Society",pam_ford@att.net,(870) 838-5512,"Blytheville",AR,,,Shelter,""
"Bryant Animal Control & Adoption Center",animalcontrol@cityofbryant.com,(501) 943-0489,"Bryant",AR,,,Shelter,""
"Cabot Animal Control",vetspet80@yahoo.com,(501) 843-2021,"Cabot",AR,,,Shelter,""
"Camden City Pound",tshadden@camdenpolice.com,(870) 836-5755,"Camden",AR,,,Shelter,""
"Central Arkansas SPCA",reneas34@aol.com,(501) 366-1293,"Jacksonville",AR,,,Shelter,""
"Charleston Dog Shelter",shayes@tigersmail.org,(479) 965-3591,"Charleston",AR,,,Shelter,""
"City of Gentry Animal Services",mark.smithson@cityofgentry.com,(479) 212-0632,"Gentry",AR,,,Shelter,""
"City of Hot Springs Animal Services",mlstone@cityhs.net,(501) 262-2091,"Hot Springs",AR,,,Shelter,""
"City of Mena Animal Control",mellodydolly@gmail.com,,"Mena",AR,,,Shelter,""
"City of Rogers-Animal Services",dschumacher@rogersar.gov,(479) 621-1197,"Rogers",AR,,,Shelter,""
"City of Springdale Animal Services",ckremer@springdalear.gov,(479) 750-8166,"Springdale",AR,,,Shelter,""
"Community Cats of Central AR",contact@mycommunitycats.com,(801) 508-4070,"Jacksonville",AR,,,Shelter,""
"Conway Animal Welfare Unit",shona.osborne@cityofconway.org,(501) 450-6160,"Conway",AR,,,Shelter,""
"Crystal Creek Animal Rescue League",cats@crystalcreekrescue.com,(202) 421-2777,"Bentonville",AR,,,Shelter,""
"Cynder Creek Animal Rescue and Sanctuary Inc",alphadogspunkyk@gmail.com,(501) 442-6818,"North Little Rock",AR,,,Shelter,""
"Decatur Animal Shelter",rickeyburke2@gmail.com,(479) 752-7235,"Decatur",AR,,,Shelter,""
"Fabulous Felines NWA",fabulousfelinesnwa@gmail.com,(479) 273-9217,"Bentonville",AR,,,Shelter,""
"Fayetteville Animal Shelter",animal_services@ci.fayetteville.ar.us,(479) 444-3456,"Fayetteville",AR,,,Shelter,""
"Forrest City Area Humane Society",ravfcahs@gmail.com,(870) 633-7036,"Forrest City",AR,,,Shelter,""
"Friends of Horseshoe Bend Animals",friendsofhba@yahoo.com,(870) 373-2649,"Horseshoe Bend",AR,,,Shelter,""
"Gails Pets Second Chance",gailspets@hotmail.com,(870) 431-8229,"Oakland",AR,,,Shelter,""
"Glenwood Animal Control Shelter",cynsan@windstream.net,(870) 223-2995,"Glenwood",AR,,,Shelter,""
"Good Shepherd Humane Society",goodshepherd6486@gmail.com,(479) 253-9188,"Eureka Springs",AR,,,Shelter,""
"Greener Days Ahead Rescue",gdarescue@gmail.com,,"mount vernon",AR,,,Shelter,""
"Guardian Angels Cat Rescue and Adoption Shelter",gacr@att.net,(501) 623-3484,"Hot Springs",AR,,,Shelter,""
"H&P Animal Alliance",hpanimalalliance@gmail.com,(870) 234-3131,"Magnolia",AR,,,Shelter,""
"Have a Heart Humane Society",haveaheartpetshelter@gmail.com,(870) 449-7387,"Yellville",AR,,,Shelter,""
"Heavenly Paws NWA",heavenlypawsrescuebv@gmail.com,(479) 366-1419,"Gravette",AR,,,Shelter,""
"Heber Springs Humane Society",heberspringshumanesociety@yahoo.com,(501) 362-7322,"Heber Springs",AR,,,Shelter,""
"Helping Hands For Little Paws",helpinghandsforlittlepaws@yahoo.com,(501) 888-2702,"Little Rock",AR,,,Shelter,""
"Homeless Pets Lifeline",dogtiredjanet@hotmail.com,(479) 216-6044,"Waldron",AR,,,Shelter,""
"Hot Springs Village Animal Welfare League",adoptions@hsvawl.org,,"Hot Springs Village",AR,,,Shelter,""
"Humane Society of Independence County",hsicshelteroffice@yahoo.com,(870) 793-0090,"Batesville",AR,,,Shelter,""
"Humane Society of Marion County",humanesocietyyellville@yahoo.com,(870) 416-3428,"Yellville",AR,,,Shelter,""
"Humane Society of North Central Arkansas",hsnca@centurytel.net,(870) 425-9221,"Mountain Home",AR,,,Shelter,""
"Humane Society of Pulaski County",hspc.ar.volunteers@gmail.com,(501) 227-6166,"Little Rock",AR,,,Shelter,""
"Humane Society of Saline County",wehelpanimals@aol.com,(501) 557-5518,"Bauxite",AR,,,Shelter,""
"Humane Society of the Delta",adoptionshsdelta@gmail.com,(870) 753-2119,"Helena",AR,,,Shelter,""
"Humane Society of the Ouachitas",tinasball@aol.com,(479) 394-5682,"Mena",AR,,,Shelter,""
"Izard County Animal Rescue Effort (ICARE)",icare_ark@yahoo.com,(870) 368-5000,"Melbourne",AR,,,Shelter,""
"Jackson County Humane Society",arkansasjchs@yahoo.com,(870) 217-5878,"Newport",AR,,,Shelter,""
"Jacksonville Animal Shelter",animalshelter@cityofjacksonville.net,(501) 982-2916,"Jacksonville",AR,,,Shelter,""
"Lester C. Howick Animal Shelter of Washington County",ashelter@co.washington.ar.us,(479) 695-3450,"Fayetteville",AR,,,Shelter,""
"Little Rock Animal Services (LRAS)",troark@littlerock.org,(501) 376-3067,"Little Rock",AR,,,Shelter,""
"Liz E.'s Pekingese Rescue and Sanctuary",lizethedog@yahoo.com,,"Benton",AR,,,Shelter,""
"Lone Pine Ranch Animal Shelter",lonepineshelter@yahoo.com,(479) 795-2709,"Centerton",AR,,,Shelter,""
"Lost Love Animal Rescue",lostloveanimalrescue@hotmail.com,,"Fayetteville",AR,,,Shelter,""
"Lowell Animal Shelter",animalcontrol@lowellarkansas.gov,,"Lowell",AR,,,Shelter,""
"Maumelle Friends of the Animals",jeanwheelerlewis@gmail.com,(501) 851-7114,"Maumelle",AR,,,Shelter,""
"Morning Meadow Animal Rescue",mmarcatdog@yahoo.com,(870) 917-7034,"Fordyce",AR,,,Shelter,""
"Muttley Crew German Shepherd Rescue",mcrgsd@yahoo.com,,"Fouke",AR,,,Shelter,""
"NEA Humane Society",adoptions@neahs.org,(870) 932-5185,"Jonesboro",AR,,,Shelter,""
"Needy Paws Animal Shelter",needypawsanimalshelter@yahoo.com,(479) 754-4200,"Clarksville",AR,,,Shelter,""
"Northwest Arkansas Rescue of Canines, Inc.",northwestarkrescue@gmail.com,(870) 350-0813,"Harrison",AR,,,Shelter,""
"NovaStar Animal Rescue",novastarrescue@gmail.com,(501) 920-7311,"Ola",AR,,,Shelter,""
"Out Of The Woods Animal Rescue",contact@ootwrescue.org,,"Little Rock",AR,,,Shelter,""
"Ozark Dogs Rescue Organization",ozarkdogs@yahoo.com,(870) 508-4814,"Mountain Home",AR,,,Shelter,""
"Ozark Humane Society",ohsshelter@gmail.com,(870) 741-3050,"Harrison",AR,,,Shelter,""
"Paragould Animal Welfare Society",pawsar@att.net,(870) 240-0997,"Paragould",AR,,,Shelter,""
"Paws & Claws Pet Shelter",pawsandclawspetshelter@gmail.com,(479) 738-1505,"Huntsville",AR,,,Shelter,""
"Paws and Claws Rescue",info@pawsandclawsrescue.org,,"Hot Springs",AR,,,Shelter,""
"Paws To Love Me",chris@pawstoloveme.org,,"Bella VIsta",AR,,,Shelter,""
"Perry's Orphans Sanctuary Inc.",perrysorphans@gmail.com,(870) 431-8354,"Oakland",AR,,,Shelter,""
"Pit Bull Ambassador of Northwest Arkansas",adoptionpbanwa@yahoo.com,,"Springdale",AR,,,Shelter,""
"Pug Rescue of Northwest Arkansas",pugrescuenwa@yahoo.com,,"Bentonville",AR,,,Shelter,""
"Purr Catfe",info@purrnwa.com,(479) 301-0993,"Fayetteville",AR,,,Shelter,""
"Russellville Animal Shelter",tcase@rsvlar.org,(479) 968-1944,"Russellville",AR,,,Shelter,""
"Siloam Springs Animal Services",animalcontrol@siloamsprings.com,(479) 524-6535,"Siloam Springs",AR,,,Shelter,""
"Small K9 Rescue",patkellim@live.com,,"Paragould",AR,,,Shelter,""
"Spenser's Legacy Animal Rescue",contact@spenserslegacy.org,(479) 601-7202,"Fayetteville",AR,,,Shelter,""
"Stone County Humane Society Inc.",schs@yelcot.net,(870) 269-5200,"Mountain View",AR,,,Shelter,""
"Stop Animal Cruelty in Hot Spring County",mataft@netscape.com,(501) 276-2385,"Malvern",AR,,,Shelter,""
"Stray Central",blueskat@aol.com,(479) 300-6226,"Farmington",AR,,,Shelter,""
"The Animal Farm",greenecountyanimalfarm@yahoo.com,(870) 240-8117,"Paragould",AR,,,Shelter,""
"The Humane Society of Searcy",hss@cablelynx.com,(501) 268-3535,"Searcy",AR,,,Shelter,""
"The Humane Society of the Ozarks",animalservices@hsozarks.com,(479) 444-7387,"Fayetteville",AR,,,Shelter,""
"Warm Hearts Humane Society Inc,",warmhearts@earthlink.net,(870) 490-0883,"Mount Ida",AR,,,Shelter,""
"Wynne Friends of Animals",kakn6755@gmail.com,(870) 238-9663,"Wynne",AR,,,Shelter,""
"2DARESCUE",karen@2darescue.org,(480) 229-9530,"Phoenix",AZ,,,Shelter,""
"2nd Chance Dog Rescue",cdczar96@aol.com,,"Queen Creek",AZ,,,Shelter,""
"4 The Love of German Shepherds Rescue",ashtonshepherds@aol.com,,"Phoenix",AZ,,,Shelter,""
"ABC (Animals Benefit Club of Arizona, Inc.)",info@animalsbenefitclub.com,(602) 867-2169,"Phoenix",AZ,,,Shelter,""
"Adorable Dog Rescue",adorabledogrescue@yahoo.com,,"Phoenix",AZ,,,Shelter,""
"AJs Best Friends Persian & Himalayan Rescue",ajbfcats@gmail.com,,"Ahwatukee",AZ,,,Shelter,""
"All About Animals Rescue",allaboutanimalsaz@gmail.com,,"Phoenix",AZ,,,Shelter,""
"Almost Home Bulldog Rescue",almosthomebulldogs@gmail.com,(480) 665-9524,"Tempe",AZ,,,Shelter,""
"Almost There Foster Care",info@atfcaz.org,,"Phoenix",AZ,,,Shelter,""
